Ticket #,Create Date,Close Date,Status
7395,2019-02-22 @ 02:47 PM,2019-02-25 @ 10:25 AM,closed
7396,2019-02-25 @ 08:24 AM,2019-02-25 @ 08:46 AM,closed
7397,2019-02-25 @ 08:33 AM,2019-02-25 @ 09:34 AM,closed
7398,2019-02-25 @ 09:05 AM,2019-02-25 @ 09:34 AM,closed
7399,2019-02-25 @ 09:09 AM,2019-02-26 @ 02:56 PM,closed
7400,2019-02-25 @ 09:09 AM,2019-03-21 @ 01:28 PM,closed
7401,2019-02-25 @ 09:43 AM,2019-02-25 @ 09:59 AM,closed
7402,2019-02-25 @ 10:29 AM,2019-02-26 @ 02:56 PM,closed
7403,2019-02-25 @ 10:39 AM,2019-03-15 @ 11:03 AM,closed
7404,2019-02-25 @ 11:14 AM,2019-02-26 @ 03:15 PM,closed
7405,2019-02-25 @ 11:23 AM,2019-02-25 @ 02:53 PM,closed
7406,2019-02-25 @ 02:48 PM,2019-02-25 @ 03:13 PM,closed
7407,2019-02-26 @ 07:57 AM,2019-02-26 @ 08:36 AM,closed
7408,2019-02-26 @ 11:54 AM,2019-02-26 @ 12:18 PM,closed
7409,2019-02-26 @ 01:35 PM,2019-03-12 @ 03:42 PM,closed
7410,2019-02-26 @ 03:55 PM,2019-08-08 @ 01:12 PM,closed
7411,2019-02-27 @ 08:02 AM,2019-02-27 @ 09:18 AM,closed
7412,2019-02-27 @ 08:27 AM,2019-02-27 @ 09:01 AM,closed
7413,2019-02-27 @ 09:50 AM,2019-02-27 @ 12:16 PM,closed
7414,2019-02-27 @ 10:22 AM,2019-04-02 @ 12:56 PM,closed
7415,2019-02-27 @ 11:39 AM,2019-07-16 @ 10:35 AM,closed
7416,2019-02-27 @ 03:52 PM,2019-03-08 @ 10:34 AM,closed
7417,2019-02-27 @ 04:12 PM,2019-03-08 @ 02:57 PM,closed
7418,2019-02-28 @ 09:59 AM,2019-03-08 @ 08:37 AM,closed
7419,2019-02-28 @ 10:12 AM,2019-03-22 @ 12:49 PM,closed
7420,2019-02-28 @ 11:32 AM,2019-03-11 @ 10:21 AM,closed
7421,2019-02-28 @ 11:35 AM,2019-03-11 @ 02:33 PM,closed
7422,2019-02-28 @ 11:59 AM,2019-02-28 @ 12:18 PM,closed
7423,2019-02-28 @ 02:02 PM,2019-02-28 @ 03:39 PM,closed
7424,2019-03-07 @ 07:49 AM,2019-03-08 @ 03:35 PM,closed
7425,2019-03-07 @ 10:42 AM,2019-03-07 @ 02:37 PM,closed
7426,2019-03-07 @ 10:45 AM,2019-03-12 @ 12:11 PM,closed
7427,2019-03-07 @ 10:49 AM,2019-03-13 @ 03:05 PM,closed
7428,2019-03-07 @ 03:38 PM,2019-03-07 @ 05:24 PM,closed
7429,2019-03-07 @ 03:39 PM,2019-03-07 @ 05:14 PM,closed
7430,2019-03-08 @ 09:49 AM,2019-03-14 @ 01:26 PM,closed
7431,2019-03-08 @ 10:21 AM,2019-03-18 @ 03:27 PM,closed
7432,2019-03-08 @ 12:56 PM,2019-03-08 @ 03:27 PM,closed
7433,2019-03-11 @ 07:50 AM,2019-03-11 @ 09:34 AM,closed
7434,2019-03-11 @ 08:29 AM,2019-03-13 @ 08:15 AM,closed
7435,2019-03-11 @ 08:36 AM,2019-03-11 @ 08:46 AM,closed
7436,2019-03-11 @ 08:52 AM,2019-03-20 @ 12:49 PM,closed
7437,2019-03-11 @ 09:20 AM,2019-03-14 @ 01:26 PM,closed
7438,2019-03-11 @ 11:00 AM,2019-03-12 @ 04:02 PM,closed
7439,2019-03-11 @ 11:14 AM,2019-03-13 @ 08:20 AM,closed
7440,2019-03-11 @ 11:31 AM,2019-03-20 @ 03:42 PM,closed
7441,2019-03-12 @ 09:02 AM,2019-03-12 @ 09:19 AM,closed
7442,2019-03-12 @ 11:12 AM,2019-03-25 @ 11:26 AM,closed
7443,2019-03-12 @ 11:21 AM,2019-03-12 @ 02:21 PM,closed
7444,2019-03-12 @ 11:24 AM,2019-03-12 @ 03:08 PM,closed
7445,2019-03-12 @ 12:29 PM,2019-03-28 @ 12:36 PM,closed
7446,2019-03-12 @ 12:29 PM,2019-03-26 @ 04:18 PM,closed
7447,2019-03-12 @ 01:39 PM,2019-07-16 @ 10:35 AM,closed
7448,2019-03-12 @ 02:15 PM,2019-03-22 @ 09:17 AM,closed
7449,2019-03-12 @ 02:33 PM,2019-03-13 @ 08:16 AM,closed
7450,2019-03-12 @ 03:08 PM,2019-03-12 @ 03:37 PM,closed
7451,2019-03-13 @ 07:50 AM,2019-03-13 @ 08:56 AM,closed
7452,2019-03-13 @ 11:01 AM,2019-03-22 @ 12:19 PM,closed
7453,2019-03-13 @ 02:56 PM,2019-03-14 @ 03:32 PM,closed
7454,2019-03-14 @ 07:43 AM,2019-03-14 @ 01:41 PM,closed
7455,2019-03-14 @ 09:07 AM,2019-03-14 @ 11:43 AM,closed
7456,2019-03-14 @ 11:48 AM,2019-03-14 @ 12:00 PM,closed
7457,2019-03-14 @ 01:37 PM,2019-03-14 @ 03:24 PM,closed
7458,2019-03-14 @ 02:39 PM,2019-03-25 @ 12:19 PM,closed
7459,2019-03-15 @ 12:32 PM,2019-03-21 @ 01:29 PM,closed
7460,2019-03-15 @ 02:42 PM,2019-03-20 @ 12:48 PM,closed
7461,2019-03-18 @ 08:12 AM,2019-03-25 @ 12:30 PM,closed
7462,2019-03-18 @ 08:19 AM,2019-03-26 @ 08:25 AM,closed
7463,2019-03-18 @ 08:25 AM,2019-03-27 @ 10:22 AM,closed
7464,2019-03-18 @ 08:29 AM,2019-03-28 @ 12:36 PM,closed
7465,2019-03-18 @ 08:32 AM,2019-04-11 @ 08:05 AM,closed
7466,2019-03-18 @ 03:26 PM,2019-04-12 @ 03:12 PM,closed
7467,2019-03-19 @ 07:59 AM,2019-03-19 @ 08:56 AM,closed
7468,2019-03-19 @ 08:10 AM,2019-07-16 @ 10:35 AM,closed
7469,2019-03-19 @ 03:15 PM,2019-08-22 @ 12:38 PM,closed
7470,2019-03-20 @ 08:27 AM,2019-03-20 @ 09:33 AM,closed
7471,2019-03-20 @ 09:58 AM,2019-03-20 @ 04:15 PM,closed
7472,2019-03-20 @ 10:31 AM,2019-03-22 @ 09:52 AM,closed
7473,2019-03-20 @ 11:25 AM,2019-03-21 @ 10:46 AM,closed
7474,2019-03-21 @ 08:08 AM,2019-04-02 @ 09:17 AM,closed
7475,2019-03-21 @ 08:43 AM,2019-03-21 @ 12:30 PM,closed
7476,2019-03-21 @ 09:53 AM,2019-03-28 @ 03:36 PM,closed
7477,2019-03-21 @ 11:15 AM,2019-03-26 @ 04:18 PM,closed
7478,2019-03-22 @ 01:54 PM,2019-10-01 @ 12:54 PM,closed
7479,2019-03-25 @ 09:25 AM,2019-03-29 @ 11:09 AM,closed
7480,2019-03-25 @ 10:49 AM,2019-04-08 @ 10:15 AM,closed
7481,2019-03-25 @ 11:05 AM,2019-03-25 @ 11:24 AM,closed
7482,2019-03-26 @ 07:38 AM,2019-03-27 @ 11:39 AM,closed
7483,2019-03-26 @ 08:40 AM,2019-03-26 @ 04:07 PM,closed
7484,2019-03-26 @ 09:49 AM,2019-03-26 @ 03:48 PM,closed
7485,2019-03-26 @ 11:47 AM,2019-03-26 @ 03:48 PM,closed
7486,2019-03-27 @ 07:26 AM,2019-03-27 @ 10:18 AM,closed
7487,2019-03-27 @ 10:35 AM,2019-03-27 @ 12:05 PM,closed
